nga|LNKR
tubtob|MDFR
medyo|MDFR
hinigugma|MDFR
hataas|MDFR
kamingaw|MDFR
mahinay|MDFR
puros|MDFR
buwaon|MDFR
lain|MDFR
kadali|MDFR
mahagkot|MDFR
luyo|MDFR
labaw|MDFR
matam-is|MDFR
kadagmit|MDFR
durungan|MDFR
kairo|MDFR
ilarom|MDFR
iba-iba|MDFR
maisog|MDFR
magasa|MDFR
nakalabay|MDFR
puol|MDFR
largo|MDFR
matig-a|MDFR
sadang|MDFR
pipira|MDFR
malaksi|MDFR
makaarawod|MDFR
mauran|MDFR
napaka|MDFR
kablas|MDFR
lamang|MDFR
mahamot|MDFR
talagsa|MDFR
hinay-hinay|MDFR
kahusay|MDFR
maluya|MDFR
mapiraw|MDFR
hayahay|MDFR
hiunong|MDFR
malipong|MDFR
maduha|MDFR
mahubya|MDFR
unina|MDFR
masirom|MDFR
makaharadlok|MDFR
karasa|MDFR
sirong|MDFR
maitom|MDFR
aringit|MDFR
mahulos|MDFR
tunga|MDFR
mabusag|MDFR
depende|MDFR
mingaw|MDFR
ruba|MDFR
sikat|MDFR
kaiha|MDFR
halipot|MDFR
hubya|MDFR
kurong|MDFR
antis|MDFR
hulos|MDFR
tisoy|MDFR
makaluluoy|MDFR
ura-ura|MDFR
haluag|MDFR
delikado|MDFR
klarado|MDFR
matambok|MDFR
pinakamaupay|MDFR
hul-os|MDFR
balik-balik|MDFR
abrido|MDFR
halata|MDFR
mag-isog|MDFR
imbis|MDFR
urusahon|MDFR
adlaw-adlaw|MDFR
masukot|MDFR
tadong|MDFR
gudtiay|MDFR
alanganin|MDFR
ubanon|MDFR
lawsi|MDFR
mabura|MDFR
marahalon|MDFR
tanga|MDFR
husto|MDFR
sunod|MDFR
sabid|MDFR
peke|MDFR
memoryado|MDFR
baratuhon|MDFR
madakmol|MDFR
mamara|MDFR
human|MDFR
maasin|MDFR
bagtik|MDFR
hura|MDFR
malala|MDFR
siyam|NMBR
usa|NMBR
duha|NMBR
tulo|NMBR
upat|NMBR
lima|NMBR
unom|NMBR
pito|NMBR
walo|NMBR
napulo|NMBR
syahan|NMBR
singko|NMBR
dos|NMBR
duduha|NMBR
tres|NMBR
una|NMBR
trese|NMBR
dose|NMBR
unse|NMBR
yukot|NMBR
makaduha|NMBR
ikaduha|NMBR
singkwenta|NMBR
dyes|NMBR
tutulo|NMBR
mil|NMBR
bayente|NMBR
uupat|NMBR
tagduha|NMBR
otso|NMBR
uno|NMBR
tag-usa|NMBR
sais|NMBR
milyon|NMBR
makausa|NMBR
ikaupat|NMBR
pipito|NMBR
ikatulo|NMBR
kwatro|NMBR
traynta|NMBR
syete|NMBR
otsenta|NMBR
ikalima|NMBR
katloan|NMBR
ikanapulo|NMBR
nubenta|NMBR
kinse|NMBR
sitenta|NMBR
syen|NMBR
nuybe|NMBR
ikapito|NMBR
katorse|NMBR
tawo|NN
kuya|NN
bugto|NN
buwas|NN
mata|NN
sura|NN
problema|NN
dagat|NN
buhok|NN
ate|NN
nanay|NN
tuna|NN
kinabuhi|NN
gab-i|NN
pasahero|NN
ulo|NN
kanta|NN
bulan|NN
yana|NN
babayi|NN
tindera|NN
klase|NN
kamot|NN
trabaho|NN
lawas|NN
kalibutan|NN
bata|NN
mama|NN
oras|NN
uyab|NN
lugar|NN
butang|NN
kakulop|NN
isda|NN
dughan|NN
balay|NN
tatay|NN
asawa|NN
mano|NN
pamilya|NN
aswang|NN
inday|NN
hangin|NN
anak|NN
adlaw|NN
ngaran|NN
panahon|NN
bali|NN
manok|NN
langit|NN
padi|NN
lalaki|NN
mana|NN
tubig|NN
lola|NN
aga|NN
amay|NN
hadi|NN
eskwelahan|NN
sangkay|NN
estudyante|NN
tuig|NN
bungto|NN
nawong|NN
ayam|NN
kalugaringon|NN
kwarta|NN
tanan|NN
bado|NN
gugma|NN
wara|NN
tita|NN
kwarto|NN
simabahan|NN
tindahan|NN
lolo|NN
sala|NN
pulong|NN
gobyerno|NN
iday|NN
presidente|NN
sakob|NN
nasud|NN
labot|NN
pasko|NN
bulig|NN
kasing-kasing|NN
pamati|NN
kalipay|NN
dugo|NN
lingkuran|NN
bayad|NN
gwapo|NN
kabataan|NN
sakit|NN
naglabay|NN
kaso|NN
dalan|NN
ligid|NN
lurong|NN
tiil|NN
bato|NN
duok|NN
motor|NN
kahoy|NN
bukad|NN
iroy|NN
kaupod|NN
piso|NN
pula|NN
kag-anak|NN
bagyo|NN
aringasa|NN
tinapay|NN
buot|NN
bukid|NN
edad|NN
libro|NN
yaya|NN
katawhan|NN
luha|NN
bahin|NN
plano|NN
pulis|NN
kababayin-an|NN
saging|NN
tiyan|NN
tuyo|NN
pusil|NN
sobra|NN
surat|NN
patod|NN
boses|NN
tambay|NN
tamsi|NN
kontra|NN
yawa|NN
uday|NN
salog|NN
kan-on|NN
halas|NN
igo|NN
grupo|NN
patron|NN
lubi|NN
bugas|NN
puto|NN
abot|NN
klasmeyt|NN
sukli|NN
nn|NN
merkado|NN
probinsya|NN
tag-iya|NN
regalo|NN
kapitan|NN
api|NN
tuba|NN
intoy|NN
sundalo|NN
apoy|NN
rason|NN
kabugto-an|NN
suga|NN
semana|NN
kalsada|NN
kabaraka|NN
baka|NN
ospital|NN
kusog|NN
gani|NN
bana|NN
huna-huna|NN
busag|NN
uwat|NN
daraga|NN
luto|NN
kasal|NN
takna|NN
sapatos|NN
kusina|NN
sarakyan|NN
salapi|NN
kalag|NN
dugang|NN
programa|NN
tingog|NN
sugo|NN
baryo|NN
baras|NN
paagi|NN
tito|NN
bintana|NN
inay|NN
kabayo|NN
baso|NN
katungod|NN
kadako|NN
ninong|NN
uran|NN
eskwela|NN
hingyap|NN
barkada|NN
pila|NN
kalayo|NN
pananglitan|NN
higdaan|NN
opisina|NN
anyos|NN
palo|NN
bantay|NN
baho|NN
kasuol|NN
utan|NN
kalurong|NN
barko|NN
hinayon|NN
kalipayan|NN
maistra|NN
sweldo|NN
pesos|NN
kahuna|NN
mani|NN
kaupayan|NN
opisyal|NN
duyan|NN
pasahe|NN
buho|NN
grasya|NN
pagbalik|NN
padis|NN
bagay|NN
panit|NN
serbisyo|NN
kakurian|NN
kasangkayan|NN
panimalay|NN
proyekto|NN
kakantahon|NN
karabaw|NN
mag-asawa|NN
bisita|NN
drayber|NN
baligya|NN
parte|NN
sayop|NN
pamaagi|NN
pangulo|NN
swerte|NN
kamatayon|NN
buruhaton|NN
talinga|NN
balud|NN
baraydan|NN
buany|NN
artikulo|NN
sako|NN
pinoy|NN
handa|NN
misa|NN
pumaralit|NN
gitara|NN
sul-ot|NN
irong|NN
kalalakin-an|NN
samad|NN
pwesto|NN
saya|NN
magurang|NN
tiya|NN
nahitabo|NN
kabutang|NN
hayop|NN
saad|NN
kahimtang|NN
tiyo|NN
pobre|NN
sitwasyon|NN
asin|NN
linya|NN
kultura|NN
bunga|NN
trabahuon|NN
singsing|NN
sabot|NN
barangay|NN
mangga|NN
balyo|NN
apo|NN
panhitabo|NN
palad|NN
gatas|NN
kahon|NN
uma|NN
banig|NN
hapon|NN
palibot|NN
radyo|NN
udto|NN
panapton|NN
sinirangan|NN
kabulig|NN
numero|NN
iristorya|NN
ahensya|NN
inop|NN
madi|NN
relasyon|NN
banda|NN
kabutangan|NN
dila|NN
tindero|NN
pako|NN
kurso|NN
payag|NN
itay|NN
apelyido|NN
mamaralit|NN
aram|NN
tulay|NN
kolor|NN
kawayan|NN
kusi|NN
lubnganan|NN
lubungan|NN
uusa|NN
puso|NN
libong|NN
manunulay|NN
amot|NN
pikoy|NN
kutsara|NN
pakakita|NN
rehiyon|NN
laway|NN
sanga|NN
karag|NN
katapusan|NN
publiko|NN
lasona|NN
manggad|NN
medya|NN
padre|NN
surudlan|NN
santo|NN
katadungan|NN
hinungdan|NN
bulawan|NN
kagab-ihon|NN
katalwasan|NN
kayakan|NN
salad|NN
agta|NN
kinaadman|NN
sibuyas|NN
kalaw|NN
mananap|NN
panuyo|NN
tigaman|NN
kandila|NN
kutsilyo|NN
kasing|NN
uyasan|NN
kaluoy|NN
artista|NN
sapa|NN
kabulan|NN
karton|NN
pedicab|NN
bungol|NN
kawatan|NN
sabaw|NN
kuryente|NN
kaaway|NN
babay|NN
bangus|NN
panlawas|NN
palasyo|NN
kalo|NN
kiray|NN
sirak|NN
katalinuhan|NN
samok|NN
kaistorya|NN
buaya|NN
prinsesa|NN
waraynon|NN
lata|NN
espada|NN
baybay|NN
siyudad|NN
kalagsan|NN
isyu|NN
tira-tira|NN
inaabat|NN
pinggan|NN
lastiko|NN
krus|NN
buwa|NN
espiritu|NN
kadagatan|NN
resulta|NN
pagtawag|NN
tanaman|NN
kaparte|NN
hugador|NN
biktima|NN
butkon|NN
sakayan|NN
panginahanglan|NN
singbahan|NN
arte|NN
tuyaw|NN
liso|NN
kabakahan|NN
lista|NN
panhuna-huna|NN
pagkatawo|NN
bulo|NN
sundang|NN
bituon|NN
balita|NN
irimnon|NN
dampog|NN
tinikangan|NN
kakuri|NN
utok|NN
bulad|NN
sigarilyo|NN
praktis|NN
hitsura|NN
ekonomiya|NN
lider|NN
kamote|NN
kamurayaw|NN
telepono|NN
santos|NN
ikog|NN
huni|NN
lara|NN
kalakat|NN
aso|NN
ideya|NN
kaagahon|NN
pasaylo|NN
ihi|NN
tunog|NN
kalangitan|NN
pamahaw|NN
korte|NN
empleyado|NN
kamurayawan|NN
tuhod|NN
katatawa|NN
lidong|NN
magburugto|NN
edukasyon|NN
balaod|NN
pwersa|NN
biyahe|NN
mais|NN
suhag|NN
kapalaran|NN
syudad|NN
kabo|NN
taklap|NN
kampanya|NN
agtang|NN
obligasyon|NN
hugaw|NN
minuto|NN
salin|NN
proseso|NN
medisina|NN
operasyon|NN
katikangan|NN
pamatasan|NN
sementeryo|NN
gahum|NN
baybayon|NN
kaagi|NN
binuhatan|NN
buang|NN
pakabuhi|NN
paglaom|NN
kostumer|NN
balhas|NN
kapaso|NN
manghod|NN
nahibaruan|NN
gasto|NN
portahan|NN
klasmet|NN
balon|NN
langyaw|NN
negosyo|NN
nabuhat|NN
humay|NN
ugat|NN
adobo|NN
kaapi|NN
masabtan|NN
konduktor|NN
pahayag|NN
porma|NN
lamrag|NN
kalain|NN
abogado|NN
sasakyan|NN
desisyon|NN
hinumduman|NN
katunga|NN
suporta|NN
pasensya|NN
kamatis|NN
uso|NN
ladawan|NN
ginhadian|NN
kasabot|NN
adik|NN
pagtuon|NN
aktibidad|NN
putos|NN
batan-on|NN
habagat|NN
harigi|NN
pagsarangkay|NN
lana|NN
tradisyon|NN
kasubo|NN
pukot|NN
kalamay|NN
taghom|NN
tagayan|NN
tugon|NN
uripon|NN
katamsihan|NN
paragsiday|NN
suruguon|NN
kandidato|NN
aragi-an|NN
suoy|NN
panulay|NN
kanding|NN
kamatuuran|NN
balaudnon|NN
sagdon|NN
molopyo|NN
uding|NN
gi-os|NN
umagad|NN
tudlo|NN
urupod|NN
hagna|NN
dungog|NN
turo|NN
buhis|NN
todo|NN
asno|NN
premyo|NN
kinabuwasan|NN
inulang|NN
utot|NN
parag-uma|NN
katungdanan|NN
linog|NN
magbarantay|NN
baraan|NN
sistema|NN
iparalit|NN
kamingawan|NN
pamahung-pahong|NN
buhatan|NN
susumatan|NN
pato|NN
uwak|NN
nahunahunaan|NN
manog-banog|NN
lungib|NN
hinkit-an|NN
baying|NN
alat|NN
sayod|NN
burabud|NN
dalugdog|NN
ginikan|NN
rayandayan|NN
lunop|NN
bino|NN
rawis|NN
tun-og|NN
larang|NN
kawit|NN
tinipigan|NN
isdaan|NN
kagutom|NN
pagawas|NN
gamhanan|NN
ilo|NN
panginabuhi|NN
katawo|NN
trigo|NN
kasinahon|NN
katsirak|NN
piniliay|NN
pangiklop|NN
tae|NN
kaburut-on|NN
ayat|NN
laka|NN
pasidungog|NN
kasamok|NN
laktod|NN
halaran|NN
haplas|NN
sulod|NN
linggwahe|NN
harina|NN
abakadahan|NN
panganuron|NN
nati|NN
poder|NN
hangkag|NN
dagku|NN
porsyento|NN
karaunon|NN
moros|NN
makagarahum|NN
pangpang|NN
pusoy|NN
salaming|NN
magsiriday|NN
kaarawdan|NN
utap|NN
kabido|NN
hilo|NN
tulin|NN
aga-aga|NN
agnay|NN
gutom|NN
limukon|NN
polbo|NN
aping|NN
monar|NN
darad-on|NN
kabakyang|NN
layong|NN
kuta|NN
kerida|NN
katubol|NN
inenglis|NN
tadtaran|NN
saliwan|NN
kahagnaan|NN
kalalaki|NN
tapang|NN
urang|NN
pundo|NN
duma|NN
tidaraon|NN
sugod|NN
danyos|NN
murat|NN
ginhigugma|NN
taga-baryo|NN
bilyaran|NN
papliton|NN
mutato|NN
bugsay|NN
kagaw|NN
mangarabay|NN
arom|NN
aw|IJTN
baging|NN
ispat|NN
sug-ang|NN
delubyo|NN
hasler|NN
andana|NN
darag|NN
tulos|NN
ada|IJTN
kapadian|NN
badil|NN
kampilan|NN
hardin|NN
paraghimo|NN
ibaraligya|NN
sityo|NN
kinatsila|NN
kuan|IJTN
matris|NN
gubat|NN
taghoy|NN
tagsurat|NN
ugto|NN
kodigo|NN
manaraya|NN
esposo|NN
hala|IJTN
umang|NN
pakdol|NN
ah|IJTN
mamay|IJTN
ahay|IJTN
atara|IJTN
sugad|VB
siring|VB
lagi|IJTN
basta|IJTN
takay|IJTN
hay|IJTN
baadaw|IJTN
saho|IJTN
weh|IJTN
agi|VB
kaya|VB
ambot|IJTN
sus|IJTN
alang|IJTN
hiyay|IJTN
haroy|IJTN
yaik|IJTN
abaadaw|IJTN
nasiring|VB
upod|VB
harumamay|IJTN
salamat|IJTN
alagad|IJTN
hagi|IJTN
pastilan|IJTN
halagad|IJTN
agidaw|IJTN
tara|VB
nakadto|VB
baya|VB
pagkita|VB
palit|VB
sumiring|VB
kaon|VB
mauli|VB
nakaon|VB
mulay|VB
masiring|VB
yakan|VB
makadto|VB
kumadto|VB
taga|VB
nakita|VB
uli|VB
tagi|VB
nagyakan|VB
pumalit|VB
dara|VB
pagkaon|VB
gamit|VB
mapalit|VB
pakiana|VB
uho|VB
upaya|VB
nagpakiana|VB
kitaa|VB
kadi|VB
bahala|VB
kadto|VB
istorya|VB
kuha|VB
kumita|VB
tikadto|VB
natawa|VB
gawas|VB
nayakan|VB
siniring|VB
marasa|VB
ubos|VB
nakada|VB
pakadi|VB
malakat|VB
umabot|VB
makita|VB
saba|VB
nagsiring|VB
maupod|VB
nakit-an|VB
makadi|VB
pinaagi|VB
tagan|VB
napalit|VB
tawag|VB
hatag|VB
nadiri|VB
baton|VB
balik|VB
tuod|VB
kumaon|VB
nawara|VB
pakadto|VB
nakakita|VB
makaon|VB
tinuod|VB
nagkikita|VB
hinay|VB
mahihimo|VB
buhat|VB
nakuha|VB
nahulog|VB
nagtikang|VB
maabot|VB
makuha|VB
nagkita|VB
kuhaa|VB
nagmumulay|VB
papaliton|VB
dagmit|VB
nahadlok|VB
bumalik|VB
tawa|VB
nakilala|VB
nakanta|VB
pagyakan|VB
mahuram|VB
ikadi|VB
makuan|VB
umuli|VB
lumakat|VB
pagkadto|VB
pili|VB
ginhatag|VB
nakaturog|VB
padayon|VB
nasing|VB
mabulig|VB
nasugad|VB
pangaon|VB
sakay|VB
mabalik|VB
lakat|VB
baba|VB
sayaw|VB
tatagan|VB
mag-aano|VB
magkirita|VB
bubuhaton|VB
gintagan|VB
sumat|VB
mamatay|VB
naging|VB
ginhimo|VB
masulod|VB
pamiling|VB
pag-abot|VB
pag-iwas|VB
paglakat|VB
gamiton|VB
matapos|VB
nalingkod|VB
umagi|VB
masakay|VB
natuod|VB
nawawara|VB
mahilig|VB
utang|VB
makain|VB
paghimo|VB
nag-aano|VB
sinisiring|VB
sumulod|VB
nakadi|VB
paghigugma|VB
dalagan|VB
pag-uli|VB
gumawas|VB
inom|VB
naghatag|VB
naukoy|VB
nahimo|VB
ginbuhat|VB
nakabati|VB
pagkuan|VB
magiging|VB
aanhon|VB
gagamiton|VB
kumuha|VB
nakuan|VB
nakikit-an|VB
mawara|VB
magkikita|VB
ihatag|VB
gindara|VB
mayakan|VB
pagkuha|VB
napakiana|VB
kukuhaon|VB
kitaon|VB
buhaton|VB
kuhaon|VB
tumawag|VB
hulat|VB
tana|VB
ginbubuhat|VB
nagamit|VB
dakop|VB
ginkuha|VB
sidngon|VB
pagsurat|VB
mag-upay|VB
asa|VB
ato|VB
paghatag|VB
pagpalit|VB
maghihimo|VB
makit-an|VB
nangalimot|VB
kinuha|VB
tabok|VB
tawaga|VB
magawas|VB
higugmaon|VB
pagsiring|VB
makakita|VB
sumakay|VB
nahingalimot|VB
naawod|VB
masunod|VB
bubutangan|VB
makikit-an|VB
kumaturog|VB
bumaton|VB
dumaop|VB
mahimo|VB
nahatag|VB
buligi|VB
bumulig|VB
ibutang|VB
mawawara|VB
gintawag|VB
dumalagan|VB
nagyayakan|VB
himo|VB
parigo|VB
nakikita|VB
magkita|VB
lingkod|VB
hihimuon|VB
namamati|VB
kahadlok|VB
nabati|VB
nagtext|VB
karigo|VB
naghuhulat|VB
magyakan|VB
nasulod|VB
kapot|VB
naghimo|VB
nabaro|VB
ginagamit|VB
pitad|VB
lumingkod|VB
masugad|VB
nagtitikang|VB
ihahatag|VB
suagara|VB
umupod|VB
nauna|VB
makanta|VB
tagay|VB
maubos|VB
nagkuan|VB
ipakita|VB
naabat|VB
nagawas|VB
pinakadto|VB
pagdara|VB
umulpot|VB
naangay|VB
higot|VB
pagmata|VB
padara|VB
nagkukuri|VB
hapit|VB
nabatian|VB
panguli|VB
tipakadto|VB
pinalit|VB
tuman|VB
matawa|VB
maaro|VB
nauli|VB
mapatay|VB
naagi|VB
saka|VB
nagsusurat|VB
nagkikinita|VB
kamatay|VB
kapti|VB
magmumulay|VB
ibalik|VB
ginhihimo|VB
paggamit|VB
paggawas|VB
himuon|VB
makada|VB
nalakat|VB
babayaan|VB
makikita|VB
tima|VB
binuhat|VB
pagbulig|VB
nabuhi|VB
ginpalit|VB
mainom|VB
halo|VB
pagbasa|VB
mangaon|VB
nakanhi|VB
ukoy|VB
nahibaro|VB
umaro|VB
dumako|VB
higugma|VB
butangan|VB
papalita|VB
pagkinita|VB
namamatron|VB
magdadara|VB
pasagdi|VB
napausa|VB
matuod|VB
magluluto|VB
mahatag|VB
pag-eskwela|VB
makakadto|VB
naglalaba|VB
maghimo|VB
dad-a|VB
nabulig|VB
nabaton|VB
buligan|VB
nakarawat|VB
pagtikang|VB
nagmulay|VB
lusad|VB
maigo|VB
ubusa|VB
panhatag|VB
nangaon|VB
lupad|VB
magamit|VB
natabo|VB
butangi|VB
naigo|VB
mauna|VB
naiha|VB
sumunod|VB
mapakiana|VB
kumanhi|VB
nagmata|VB
namimiling|VB
gin-ngaranan|VB
naaro|VB
hulta|VB
nangangalas|VB
tikadi|VB
pag-ukoy|VB
nganga|VB
pagsulod|VB
natapos|VB
magsusurat|VB
yumakan|VB
kumanta|VB
pabay-i|VB
nakapot|VB
ginbutang|VB
makukuha|VB
sumakob|VB
yinaknan|VB
matuman|VB
makanhi|VB
nagpadayon|VB
palita|VB
kinadto|VB
nagpapakita|VB
pagbaton|VB
kumadi|VB
nagdara|VB
naruyag|VB
matatapos|VB
nainom|VB
ginbibiling|VB
nabayad|VB
magsiring|VB
siplat|VB
masasabtan|VB
nangangaon|VB
magtitikang|VB
pinili|VB
nagpahayag|VB
maagi|VB
naghihimo|VB
naduroy|VB
abri|VB
bilin|VB
libot|VB
harok|VB
magdara|VB
pasalamat|VB
naayon|VB
pag-agi|VB
mabuhi|VB
kikitaon|VB
maglalaba|VB
naglalakat|VB
hinupit|VB
lakip|VB
pakabati|VB
magtikang|VB
nagsumat|VB
makapalit|VB
mangangaon|VB
nakasabot|VB
kuana|VB
nakasurat|VB
dadad-on|VB
nagkaada|VB
gintatawag|VB
nahigda|VB
naruruyag|VB
pasakya|VB
pagluto|VB
bayaan|VB
masayaw|VB
tinatawag|VB
ighahatag|VB
mahuman|VB
kinaon|VB
nag-istorya|VB
ginugutom|VB
mapasakay|VB
ginyakan|VB
nababatian|VB
updi|VB
naghahatag|VB
maghatag|VB
umukoy|VB
pagbayad|VB
maano|VB
ginsiring|VB
paglaba|VB
pagbutang|VB
pangaturog|VB
ginkadto|VB
napili|VB
pagsumat|VB
hinimo|VB
nadara|VB
natikang|VB
nasabot|VB
basura|VB
maghahatag|VB
nagsaad|VB
pagpasa|VB
nagbabaligya|VB
nagkamay-ada|VB
matikang|VB
pagtutdo|VB
nalipay|VB
ginbayaan|VB
tawagon|VB
igkadi|VB
magkaada|VB
nakakakita|VB
nahuram|VB
naawa|VB
nakabutang|VB
inabot|VB
makabulig|VB
pag-ulpot|VB
nagbayad|VB
nagdadara|VB
matagan|VB
pagbisita|VB
masisiring|VB
pagpakita|VB
paglinakat|VB
gintikangan|VB
inabat|VB
sinurat|VB
ginkikinahanglan|VB
sumati|VB
tumugot|VB
ginbutangan|VB
nagtinuok|VB
sidnga|VB
nanganak|VB
bumuhat|VB
ginkita|VB
paghinay|VB
nasugot|VB
hunong|VB
bubuligan|VB
nakatawa|VB
nakakuha|VB
kadtuon|VB
mag-upod|VB
bulyas|VB
ginsisiring|VB
iban|VB
pagtapod|VB
ginkaptan|VB
nagpapasalamat|VB
makauli|VB
kinahanglanon|VB
nawarayan|VB
nagyiyinakan|VB
nabalik|VB
sinugad|VB
pag-iha|VB
tinawag|VB
nalibot|VB
magkuan|VB
paniguro|VB
reklamo|VB
matugot|VB
nababaraka|VB
abre|VB
paliton|VB
patayon|VB
pakianhan|VB
mamimiling|VB
masusugad|VB
gilayon|VB
paglabay|VB
kasiring|VB
makabati|VB
nakapalit|VB
magsurat|VB
lumupad|VB
pag-andam|VB
itext|VB
ginsugad|VB
sisigngon|VB
umundang|VB
mamiling|VB
natapod|VB
nagpakita|VB
nagtitinuok|VB
nakakarawat|VB
naupod|VB
karawat|VB
tumuod|VB
natukdaw|VB
babalyuan|VB
makasabot|VB
inupod|VB
namiling|VB
pagtrabaho|VB
iginhatag|VB
napakadto|VB
nagtratrabaho|VB
pangadi|VB
ginlalauman|VB
gumamit|VB
tukar|VB
maukoy|VB
kalma|VB
nahigugma|VB
maintindihan|VB
makasakay|VB
mabuligan|VB
ginsumatan|VB
kinikita|VB
ginpakianhan|VB
nagkakagawas|VB
ginatatagan|VB
bubuhat|VB
kaunon|VB
magtrabaho|VB
natrabaho|VB
nangangaturog|VB
nagpasalamat|VB
makakaon|VB
gintawagan|VB
nagtawag|VB
dad-on|VB
tinagan|VB
pag-aram|VB
malusad|VB
nagbuhat|VB
nanhugas|VB
bumisita|VB
kinilala|VB
nalilipay|VB
binubuhat|VB
maghuhulat|VB
bumalhin|VB
ginawas|VB
ngumisi|VB
kakaunon|VB
manlilibre|VB
makarawat|VB
pagpasalamat|VB
hinatag|VB
ginkaon|VB
huhulat|VB
pag-ampo|VB
naatubang|VB
nabubuhi|VB
ginbuligan|VB
paghunahuna|VB
duon|VB
binaton|VB
rayhak|VB
gora|VB
ihinatag|VB
mapakadto|VB
panlimpyo|VB
pagtapo|VB
kumuan|VB
lingi|VB
nasina|VB
ginpapalit|VB
pagyinakan|VB
natawo|VB
ginpatay|VB
pagdayaw|VB
duyog|VB
buhata|VB
napakita|VB
panguha|VB
tibway|VB
nakaagi|VB
papatayon|VB
mabaton|VB
higda|VB
linakat|VB
kain|VB
pagbaya|VB
ighatag|VB
mahulat|VB
makakarawat|VB
magkamay-ada|VB
nangaro|VB
ginbaton|VB
tikangan|VB
nag-anak|VB
nagbubuhat|VB
ibinutang|VB
pagbantay|VB
tinatagan|VB
sinulod|VB
pagsiday|VB
nailiw|VB
binayaan|VB
pagparade|VB
makahimo|VB
dadlagan|VB
nagpapadayon|VB
bulaga|VB
hunahuna-a|VB
sagot|VB
magraot|VB
nagdugang|VB
nagkalakat|VB
iginbutang|VB
naghulat|VB
ginbiling|VB
nagpasabot|VB
napatay|VB
lapid|VB
pagbubuhaton|VB
pagkilala|VB
nakapira|VB
masurat|VB
bagaw|VB
pagsaysay|VB
tuhaya|VB
pina-agi|VB
inuli|VB
nanginginyupo|VB
